familyid,memberid,status
32785297,152768062,Removed
32785297,152767378,Removed
32785297,152766997,Removed
32785845,152769394,Removed
32785845,152769997,Removed
32785845,152771030,Removed
32785845,152771619,Removed
32786649,152772756,Removed
32786649,152773406,Removed
32786649,152774082,Removed
32786649,152774797,Removed
32786649,152775437,Removed
32788235,152779474,Removed
32788235,152779996,Removed
32788235,152780749,Removed
32788874,152782596,Removed
32788874,152783249,Removed
32789459,152785015,Removed
32789459,152785642,Removed
32789536,152786171,Removed
32789536,152786945,Removed
32789536,152785484,Removed
32789536,152784893,Removed
32790263,152788689,Removed
32790263,152789405,Removed
32790263,152790118,Removed
32791072,152791699,Removed
32791072,152792323,Removed
32791072,152792917,Removed
32791072,152793726,Removed
32791838,152794862,Removed
32791838,152795668,Removed
32791838,152796522,Removed
32791838,152797317,Removed
32791838,152797993,Removed
32792828,152799414,Removed
32792828,152801014,Removed
32792828,152811894,Removed
32792828,152812752,Removed
32792828,152813538,Removed
32792828,152814427,Removed
32794341,152858256,Removed
32794341,152858777,Removed
32794341,152859533,Removed
32794341,152860442,Removed
32794341,152857703,Removed
32796877,152843546,Removed
32796877,152844236,Removed
32796877,152845002,Removed
32796877,152845666,Removed
32796877,152846383,Removed
32796877,152847212,Removed
32800992,152836486,Removed
32800992,152837317,Removed
32800992,152838060,Removed
32800992,152838923,Removed
32800992,152839704,Removed
32811681,152883646,Removed
32811681,152880877,Removed
32811681,152881321,Removed
32811681,152881863,Removed
32811681,152882382,Removed
32812284,152883348,Removed
32812284,152883886,Removed
32812284,152884410,Removed
32812284,152884938,Removed
32812284,152886080,Removed
32812284,152885465,Removed
32812634,301935669,Removed
32812634,301935890,Removed
32812634,152885579,Removed
32812634,152886021,Removed
32812634,152886545,Removed
32812634,152887193,Removed
32812634,152887545,Removed
32812634,152885168,Removed
32812634,152884788,Removed
32812634,303547477,Removed
32813488,152888698,Removed
32813488,152889202,Removed
32813488,152889679,Removed
32813488,152890250,Removed
32813488,152890847,Removed
32813488,152891351,Removed
32813488,152891825,Removed
32813488,152892446,Removed
32814615,152893869,Removed
32814615,152894396,Removed
32814615,152898566,Removed
32814615,152899110,Removed
32814615,152899800,Removed
32814615,152900344,Removed
32814615,152900925,Removed
32814615,152901481,Removed
32814615,152902214,Removed
32814615,152902896,Removed
