familyid,memberid,status
32815609,152901956,Removed
32815609,152901303,Removed
32815609,152900598,Removed
32815609,152899147,Removed
32815609,152899757,Removed
32815609,152898232,Removed
32817083,152904320,Removed
32817083,152904873,Removed
32817083,152905389,Removed
32817083,152906059,Removed
32817083,152906507,Removed
32817083,152907083,Removed
32817083,152907724,Removed
32817083,152909038,Removed
32817083,152909638,Removed
32817083,152910333,Removed
32817351,152910972,Removed
32817351,152911662,Removed
32817351,152910147,Removed
32817351,152909588,Removed
32817351,152908059,Removed
32817351,152908863,Removed
32817351,152907067,Removed
32817351,152906385,Removed
32817351,152905720,Removed
32818583,152912400,Removed
32818583,152911643,Removed
32818583,152910871,Removed
32818583,152917924,Removed
32818583,152918500,Removed
32818583,152916337,Removed
32818943,152917410,Removed
32818943,152917889,Removed
32818943,152913847,Removed
32818943,152914348,Removed
32818943,152922550,Removed
32818943,152923177,Removed
32821718,152924793,Removed
32821718,152925595,Removed
32821718,152926189,Removed
32821718,152926896,Removed
32821718,152929107,Removed
32821718,152929608,Removed
32821718,152930111,Removed
32821718,152930588,Removed
32821718,152931142,Removed
32821718,152931685,Removed
32821718,152932360,Removed
32821718,152933113,Removed
32821718,152933639,Removed
32821718,152934187,Removed
32821718,152934769,Removed
32849790,153046408,Removed
32849790,153046948,Removed
32849790,153047780,Removed
32893765,153224293,Removed
32893765,153224990,Removed
32893765,153225559,Removed
32894401,153226682,Removed
32894401,153227259,Removed
32894769,153228274,Removed
32894769,153228905,Removed
32894769,153229397,Removed
33000002,153682663,Removed
33000002,304364287,Removed
33004361,188054645,Removed
33004361,188054977,Removed
33004361,153700299,Removed
33007089,308348613,Removed
33013446,153740053,Removed
33013446,153741804,Removed
33013446,153743194,Removed
33013446,153744174,Removed
33016258,181120420,Removed
33016258,153752169,Removed
33016258,153750542,Removed
33016258,153751139,Removed
33016258,316188144,Removed
33018658,153760457,Removed
33018658,153761592,Removed
33018734,300680472,Removed
33018734,198939880,Removed
33018734,198940094,Removed
33018734,153762345,Removed
33024942,153786496,Removed
33024942,153787378,Removed
33024942,153787958,Removed
33024942,153788509,Removed
33024942,153788849,Removed
33027464,153798210,Removed
33027464,153800887,Removed
