familyid,memberid,status
33183330,154448094,Removed
33183330,154448508,Removed
33183330,154448916,Removed
33183330,154449314,Removed
33183330,154449658,Removed
33183330,154450070,Removed
33183330,154450459,Removed
33183330,154450939,Removed
33183330,154451379,Removed
33199773,154514479,Removed
33199773,154514834,Removed
33199773,154515196,Removed
33226729,200663315,Removed
33226729,310356525,Removed
33226729,313029394,Removed
33231978,154655644,Removed
33231978,154655706,Removed
33231978,154655761,Removed
33231978,154655818,Removed
