familyid,memberid,status
33549147,157506634,Removed
33549147,157506797,Removed
33549147,308062604,Removed
33549509,158298707,Removed
33549509,158299101,Removed
33549646,158337340,Removed
33549646,158337530,Removed
33549646,158338705,Removed
33549894,158342698,Removed
33549894,322500485,Removed
33549933,158340241,Removed
33549933,158340530,Removed
33549933,158340738,Removed
33549933,158340901,Removed
33549933,158341100,Removed
33549933,158341403,Removed
33551464,156090222,Removed
33551464,156090659,Removed
33551464,156091101,Removed
33551464,156092457,Removed
33551464,156093455,Removed
33551534,157420870,Removed
33551534,157421356,Removed
33551534,319743170,Removed
33560479,155924718,Removed
33560479,155924835,Removed
33560479,155924974,Removed
33560479,155925086,Removed
33560479,155925225,Removed
33560479,155925381,Removed
33564872,155944164,Removed
33564872,155944346,Removed
33564872,155944627,Removed
33564872,155944787,Removed
33567676,155956731,Removed
33567676,305609095,Removed
33598027,156037300,Removed
33598027,156037646,Removed
33598027,156038075,Removed
33624194,156135677,Removed
33624194,156135779,Removed
33624194,156135888,Removed
33624194,156135996,Removed
33624436,156136693,Removed
33624436,156136820,Removed
33624436,156137837,Removed
33639234,156198524,Removed
33639234,156198969,Removed
33639234,156205658,Removed
33675727,156337656,Removed
33675727,156338433,Removed
33675727,156338575,Removed
33694753,156748766,Removed
33694753,156749220,Removed
33694881,156599389,Removed
33694881,156599614,Removed
33694881,156599766,Removed
33694881,156599963,Removed
33694881,156600081,Removed
33695424,156526750,Removed
33695424,156528678,Removed
33695424,156528992,Removed
33695838,200632981,Removed
33695838,200632984,Removed
33695838,156689629,Removed
33695838,156689792,Removed
33695838,156690171,Removed
33695838,156690567,Removed
33697117,156686743,Removed
33697117,156687499,Removed
33697453,156800732,Removed
33697453,156801111,Removed
33697453,307175303,Removed
33704266,181056069,Removed
33704266,156587373,Removed
33704266,156587479,Removed
33709509,156725274,Removed
33709509,156725467,Removed
33709509,156727707,Removed
33709509,192124229,Removed
33709806,156723104,Removed
33709806,156723342,Removed
33709806,314174592,Removed
33709895,156719904,Removed
33709895,156721981,Removed
33709895,156722169,Removed
33709895,156722355,Removed
33709895,156722654,Removed
33709895,156722835,Removed
33709964,156719270,Removed
33709964,156719475,Removed
33709964,316926145,Removed
33711124,156701100,Removed
33711124,156702466,Removed
33711885,156696439,Removed
33711885,156696976,Removed
33712359,156501744,Removed
33712359,156502397,Removed
33712359,156503648,Removed
33712359,156503995,Removed
33712601,156590796,Removed
33712601,156590888,Removed
33712601,156590978,Removed
33712601,156591050,Removed
33712601,156591138,Removed
33712601,156591274,Removed
33712601,156591369,Removed
33718635,156507957,Removed
33718635,156508616,Removed
33718635,156509042,Removed
33718635,317507761,Removed
33758851,156676154,Removed
33758851,156676953,Removed
33774904,156741952,Removed
33774904,156742545,Removed
33774904,156742772,Removed
33774904,156743409,Removed
33774904,305213562,Removed
33793517,156822973,Removed
33813925,156908462,Removed
33813925,156908876,Removed
33813925,156907030,Removed
33813925,156908017,Removed
33813925,309248305,Removed
33819059,156929342,Removed
33819059,156929660,Removed
33819059,156929904,Removed
33819059,156930312,Removed
33819059,156930565,Removed
33819059,156930625,Removed
33819059,156930809,Removed
33819993,156931124,Removed
33819993,156931228,Removed
33819993,156931418,Removed
33819993,156931601,Removed
33820280,156932156,Removed
33820280,156932350,Removed
33820280,156932580,Removed
33820280,156932810,Removed
33820397,156933141,Removed
33820397,156933513,Removed
33820397,156932791,Removed
33820406,156933892,Removed
33820406,156932864,Removed
33820406,156934360,Removed
33820406,156935137,Removed
33820406,156935530,Removed
33820406,156934761,Removed
33820767,156935131,Removed
33820767,156934727,Removed
33820767,156934331,Removed
33821142,156936358,Removed
33821142,156935916,Removed
33821142,156936871,Removed
33821230,156936197,Removed
33821230,156936408,Removed
33821394,156937327,Removed
33821394,156937785,Removed
33821394,156947478,Removed
33821394,156947847,Removed
