familyid,memberid,status
33232003,154653112,Removed
33232003,154653216,Removed
33232003,154653294,Removed
33232131,154653617,Removed
33232131,154653763,Removed
33232131,154653837,Removed
33232131,154653895,Removed
33232168,154653931,Removed
33232168,154654020,Removed
33232168,154654114,Removed
33232218,154654200,Removed
33232218,154654254,Removed
33232218,154654313,Removed
33232218,154654047,Removed
33232311,154654445,Removed
33232311,154654509,Removed
33232311,154654551,Removed
33232311,154654607,Removed
33232349,154654619,Removed
33232349,154654711,Removed
33232388,154654742,Removed
33232388,154654798,Removed
33232388,154654850,Removed
33232388,154654910,Removed
33232484,154655047,Removed
33232484,154655104,Removed
33232484,154655153,Removed
33232550,154655299,Removed
33232550,154655340,Removed
33232608,154655442,Removed
33232608,154655489,Removed
33232608,154655539,Removed
33232614,154655640,Removed
33232614,154655736,Removed
33232614,154655527,Removed
33232718,154656036,Removed
33232718,154655879,Removed
33232718,154655961,Removed
33232744,154655977,Removed
33232744,154656030,Removed
33232744,154656075,Removed
33232744,154656115,Removed
33232808,154656227,Removed
33232808,154656284,Removed
33232856,154656404,Removed
33232856,154656452,Removed
33232856,154656491,Removed
33232856,154656556,Removed
33232856,154656610,Removed
33232977,154656885,Removed
33232977,154656935,Removed
33233025,154657032,Removed
33233025,154657075,Removed
33233025,154657122,Removed
33233025,154657163,Removed
33263816,154785745,Removed
33263816,154786054,Removed
33263816,154786366,Removed
33263816,154786675,Removed
33263816,154786938,Removed
33263816,154787259,Removed
33263816,154787553,Removed
33300625,154942442,Removed
33300625,319823512,Removed
33396417,174871571,Removed
33396417,174871600,Removed
33398124,155314463,Removed
33398124,155314684,Removed
33398396,155315160,Removed
33398396,155315387,Removed
33398396,155315609,Removed
33398396,155315868,Removed
33398396,155316138,Removed
33398396,155316330,Removed
33398878,155317010,Removed
33398878,155317412,Removed
33398878,155317685,Removed
33398878,155317957,Removed
33398878,155318292,Removed
33398878,155318559,Removed
33399622,155319753,Removed
33399622,155320022,Removed
33399622,155320265,Removed
33399622,155320508,Removed
33399622,155320708,Removed
33399622,155321311,Removed
33400704,155323649,Removed
33400704,155323837,Removed
33404222,155337238,Removed
33404222,155337366,Removed
33404311,155337530,Removed
33404311,155337652,Removed
33404834,155339519,Removed
33404834,155339572,Removed
33404834,155339750,Removed
33419648,155406794,Removed
33419648,155407549,Removed
33419648,322541169,Removed
33425663,155431533,Removed
33425663,155433339,Removed
33425663,155434825,Removed
33425663,155435818,Removed
33425663,155436571,Removed
33425663,155438588,Removed
33425663,314849885,Removed
33425663,322495558,Removed
33425663,315760377,Removed
