familyid,memberid,status
31419205,147010636,Removed
31419205,147008983,Removed
31420375,147015884,Removed
31420375,147014677,Removed
31421544,179262674,Removed
31421544,147019187,Removed
31421544,147020140,Removed
31421544,147021113,Removed
31421544,147023452,Removed
31421544,147024657,Removed
31421544,147025640,Removed
31422420,147027567,Removed
31422420,147024267,Removed
31422420,147029382,Removed
31423636,147029514,Removed
31423636,147030629,Removed
31423636,147031559,Removed
31423636,147032523,Removed
31423636,147028404,Removed
31423964,147033142,Removed
31423964,147034143,Removed
31423964,147035070,Removed
31423964,147035980,Removed
31423964,147032163,Removed
31423964,147030825,Removed
31423964,147029996,Removed
31424072,147030314,Removed
31424072,147038662,Removed
31424072,147040921,Removed
31424072,147039508,Removed
31425694,147040047,Removed
31425694,147041039,Removed
31425694,147038247,Removed
31426208,147039062,Removed
31426208,147040431,Removed
31427099,147044261,Removed
31427099,147043275,Removed
31427099,147045338,Removed
31427099,147046357,Removed
31427121,147047257,Removed
31427121,147046284,Removed
31427121,147043384,Removed
31427121,147044343,Removed
31427121,195828123,Removed
31427121,195828154,Removed
31427156,147045084,Removed
31427156,147046303,Removed
31427410,147045506,Removed
31427410,147046674,Removed
31427410,147048815,Removed
31427410,147050080,Removed
31428754,147050248,Removed
31428754,147050904,Removed
31428754,147051496,Removed
31428754,147052378,Removed
31428754,147055012,Removed
31428754,147056387,Removed
31428754,147057240,Removed
31428768,147057875,Removed
31428768,147057056,Removed
31428768,147055344,Removed
31428768,147053061,Removed
31428768,147054258,Removed
31428768,147052042,Removed
31428768,147051175,Removed
31428768,147050284,Removed
31428768,147056150,Removed
31428807,197676714,Removed
31428807,147050764,Removed
31428961,147051338,Removed
31428961,304251719,Removed
31428961,313139405,Removed
31429550,147054370,Removed
31429550,147055465,Removed
31429550,147059005,Removed
31429550,147057589,Removed
31431189,147068070,Removed
31431189,147069028,Removed
31431189,147061518,Removed
31431189,147062754,Removed
31431189,147063722,Removed
31431189,147064640,Removed
31431189,147065536,Removed
31431189,147066439,Removed
31431189,147067312,Removed
31432570,185964449,Removed
31432570,147067543,Removed
31432570,147069605,Removed
31432570,147070784,Removed
31432570,147068631,Removed
31433558,147071279,Removed
31433558,147073740,Removed
31433558,147074656,Removed
31433558,147075404,Removed
31433558,147076808,Removed
31433558,147077732,Removed
31433558,147078446,Removed
31433558,147079148,Removed
31433558,147079885,Removed
31433558,147080670,Removed
31433558,147072391,Removed
31433639,147072579,Removed
31433639,147073349,Removed
31433639,147071334,Removed
31436413,147083566,Removed
31436413,147084165,Removed
31436413,147086211,Removed
31442724,147111566,Removed
31442724,147112228,Removed
31442724,147112959,Removed
31442724,147113773,Removed
31442724,314657493,Removed
31450331,147142753,Removed
31450331,147144117,Removed
31519606,147446259,Removed
31519606,147446992,Removed
31526116,147461667,Removed
31526116,147463294,Removed
31526116,317538185,Removed
31535518,147502962,Removed
31535518,147504497,Removed
31535518,147505090,Removed
31538602,147516059,Removed
31538602,147519962,Removed
31538602,147521489,Removed
31538602,147522179,Removed
31558303,147600109,Removed
31558303,147601350,Removed
31559176,147605630,Removed
31560186,147608545,Removed
31560186,147610028,Removed
31561303,147613536,Removed
31561303,147614612,Removed
31563000,147621434,Removed
31563000,147623008,Removed
31563000,147624747,Removed
31563000,147626119,Removed
31563000,147628172,Removed
31563000,147629423,Removed
31563000,147630612,Removed
31563000,147632493,Removed
31563000,147634583,Removed
31563000,147635450,Removed
31563000,147637478,Removed
31563000,147638787,Removed
31583676,147706750,Removed
31583676,147707112,Removed
31583676,147708282,Removed
31583676,147709586,Removed
31600811,147780796,Removed
31600811,147783041,Removed
31600811,147784662,Removed
31600811,147786797,Removed
31600811,147789187,Removed
31605126,147798037,Removed
31605126,147802057,Removed
31605126,147803697,Removed
31605126,147804416,Removed
31607515,147807016,Removed
31607515,147809161,Removed
31607515,147810423,Removed
31607515,147811272,Removed
31609630,147815582,Removed
31609630,147816649,Removed
31610270,147819032,Removed
31610270,147820835,Removed
31610270,147821796,Removed
31610270,147822379,Removed
31610270,147822998,Removed
31614100,147835147,Removed
31614100,147838965,Removed
31614100,147841255,Removed
31614100,147842480,Removed
31617253,147849751,Removed
31617253,147850484,Removed
31617253,147851258,Removed
31618544,147855400,Removed
31618544,147855919,Removed
31618544,147856626,Removed
31618544,147857178,Removed
31618544,147857730,Removed
31621511,147868746,Removed
31621511,147869417,Removed
31621511,147869956,Removed
31622208,147871724,Removed
31622208,147872543,Removed
31622753,147874530,Removed
31622753,147875333,Removed
31622753,147876014,Removed
31622753,147876459,Removed
31622753,147877102,Removed
31623692,147878550,Removed
31623692,147879910,Removed
31623692,147880505,Removed
31623692,147881061,Removed
31623692,147881495,Removed
31625926,147888194,Removed
31625926,147888692,Removed
31625926,147889262,Removed
31625926,147889870,Removed
31626598,147891286,Removed
31626598,147891656,Removed
31626598,147892124,Removed
