familyid,memberid,status
34150293,158235098,Removed
34150293,158235233,Removed
34150293,158235514,Removed
34150738,158222866,Removed
34150738,158223161,Removed
34150778,158219860,Removed
34150778,158221196,Removed
34150778,158221470,Removed
34150778,311728887,Removed
34150778,314915444,Removed
34150821,158209624,Removed
34150821,158210433,Removed
34150821,158210715,Removed
34150821,158211128,Removed
34150821,158211972,Removed
34150821,158212282,Removed
34150821,313010888,Removed
34150955,158207908,Removed
34150955,158208191,Removed
34151132,158215004,Removed
34151132,158215422,Removed
34151132,158215647,Removed
34151132,158215885,Removed
34151132,319679803,Removed
34151236,158192228,Removed
34151236,158192497,Removed
34151236,158193638,Removed
34151236,158194303,Removed
34151365,158189167,Removed
34151365,158189359,Removed
34151365,158189611,Removed
34151365,158189891,Removed
34151365,158190132,Removed
34155922,158185519,Removed
34155922,158186238,Removed
34159711,158204616,Removed
34159711,158204894,Removed
34159711,158205106,Removed
34159711,316187592,Removed
34159711,316187593,Removed
34163781,309382631,Removed
34163781,309382633,Removed
34163781,309382634,Removed
34163781,309382635,Removed
34165637,158226934,Removed
34165637,158227343,Removed
34165637,158227981,Removed
34165637,158228261,Removed
34165637,158228647,Removed
34165637,315089790,Removed
34166256,158229586,Removed
34166256,158229950,Removed
34166256,158230240,Removed
34166256,158230643,Removed
34166256,158231348,Removed
34166256,158231598,Removed
34166256,158231908,Removed
34167320,158234104,Removed
34167320,158234294,Removed
