familyid,memberid,status,timestamp,original_member
35768355,164017055,Removed,2025-06-24T05:03:38.045332,164017081
35768355,164017081,Removed,2025-06-24T05:03:43.800994,164017055
35768367,164017331,Removed,2025-06-24T05:03:47.619651,164017346
35768367,164017346,Removed,2025-06-24T05:03:51.319761,164017361
35768367,164017361,Removed,2025-06-24T05:03:55.608679,164017382
35768367,164017382,Removed,2025-06-24T05:03:59.592515,164017361
35768388,164017409,Removed,2025-06-24T05:04:03.086941,164017449
35768388,164017449,Removed,2025-06-24T05:04:06.795000,164017473
35768388,164017473,Removed,2025-06-24T05:04:10.312700,164017505
35768388,164017505,Removed,2025-06-24T05:04:13.468440,164017516
35768388,164017516,Removed,2025-06-24T05:04:16.878520,164017545
35768388,164017545,Removed,2025-06-24T05:04:20.051192,164017516
35768848,164017603,Removed,2025-06-24T05:04:23.543492,164017875
35768848,164017875,Removed,2025-06-24T05:04:27.916173,164017603
35768855,164017805,Removed,2025-06-24T05:04:32.233309,164017822
35768855,164017822,Removed,2025-06-24T05:04:35.368844,164017805
35768977,164022522,Removed,2025-06-24T05:04:38.617286,164022551
35768977,164022551,Removed,2025-06-24T05:04:42.646345,164022567
35768977,164022567,Removed,2025-06-24T05:04:46.944975,164022580
35768977,164022580,Removed,2025-06-24T05:04:51.068029,164022600
35768977,164022600,Removed,2025-06-24T05:04:54.416398,164022580
35772396,164022391,Removed,2025-06-24T05:04:58.216079,164022408
35772396,164022408,Removed,2025-06-24T05:05:04.014539,164022458
35772396,164022458,Removed,2025-06-24T05:05:07.376041,164022475
35772396,164022475,Removed,2025-06-24T05:05:10.615725,164022458
35772430,164022344,Removed,2025-06-24T05:05:15.348888,164022355
35772430,164022355,Removed,2025-06-24T05:05:21.778543,164022344
35776318,164030940,Removed,2025-06-24T05:05:34.524157,164030960
35776318,164030960,Removed,2025-06-24T05:05:38.105922,164030940
35776326,164030990,Removed,2025-06-24T05:05:43.140615,164030998
35776326,164030998,Removed,2025-06-24T05:05:46.764042,164031014
35776326,164031014,Removed,2025-06-24T05:05:50.012125,164031021
35776326,164031021,Removed,2025-06-24T05:05:53.915589,164031036
35776326,164031036,Removed,2025-06-24T05:05:57.414733,164031050
35776326,164031050,Removed,2025-06-24T05:06:01.281309,164031036
35776328,164031074,Removed,2025-06-24T05:06:06.297148,164031082
35776328,164031082,Removed,2025-06-24T05:06:11.339836,164031074
35776333,164031111,Removed,2025-06-24T05:06:14.956391,164031125
35776333,164031125,Removed,2025-06-24T05:06:17.921076,164031138
35776333,164031138,Removed,2025-06-24T05:06:21.081699,164031154
35776333,164031154,Removed,2025-06-24T05:06:25.206985,164031174
35776333,164031174,Removed,2025-06-24T05:06:29.143061,164031187
35776333,164031187,Removed,2025-06-24T05:06:32.613282,164031174
35776342,164031206,Removed,2025-06-24T05:06:36.994512,164031216
35776342,164031216,Removed,2025-06-24T05:06:40.304457,164031206
35776348,164031233,Removed,2025-06-24T05:06:43.766426,164031247
35776348,164031247,Removed,2025-06-24T05:06:46.548938,164031262
35776348,164031262,Removed,2025-06-24T05:06:50.252435,164031247
35776353,164031278,Removed,2025-06-24T05:06:53.297891,164031289
35776353,164031289,Removed,2025-06-24T05:06:57.714134,164031278
35776365,164031310,Removed,2025-06-24T05:07:02.340837,164031324
35776365,164031324,Removed,2025-06-24T05:07:05.455013,164031338
35776365,164031338,Removed,2025-06-24T05:07:08.531341,164031349
35776365,164031349,Removed,2025-06-24T05:07:11.787015,164031338
35776368,164031371,Removed,2025-06-24T05:07:14.551008,164031385
35776368,164031385,Removed,2025-06-24T05:07:19.508775,164031399
35776368,164031399,Removed,2025-06-24T05:07:23.162233,164031415
35776368,164031415,Removed,2025-06-24T05:07:26.894642,164031431
35776368,164031431,Removed,2025-06-24T05:07:30.163275,164031415
35776372,164031475,Removed,2025-06-24T05:07:33.947601,164031488
35776372,164031488,Removed,2025-06-24T05:07:37.181631,164031475
35776378,164031521,Removed,2025-06-24T05:07:41.604277,164031541
35776378,164031541,Removed,2025-06-24T05:07:44.429722,164031554
35776378,164031554,Removed,2025-06-24T05:07:47.695117,164031577
35776378,164031577,Removed,2025-06-24T05:07:51.091383,164031586
35776378,164031586,Removed,2025-06-24T05:07:54.538001,164031612
35776378,164031612,Removed,2025-06-24T05:07:57.780954,164031586
35776384,164031634,Removed,2025-06-24T05:08:01.131193,164031655
35776384,164031655,Removed,2025-06-24T05:08:04.612245,164031663
35776384,164031663,Removed,2025-06-24T05:08:10.463553,164031674
35776384,164031674,Removed,2025-06-24T05:08:13.496985,164031691
35776384,164031691,Removed,2025-06-24T05:08:16.611336,164031674
35776387,164031703,Removed,2025-06-24T05:08:20.458647,164031724
35776387,164031724,Removed,2025-06-24T05:08:26.044562,164031733
35776387,164031733,Removed,2025-06-24T05:08:29.957104,164031747
35776387,164031747,Removed,2025-06-24T05:08:33.678837,164031753
35776387,164031753,Removed,2025-06-24T05:08:36.755454,164031747
35776395,164031780,Removed,2025-06-24T05:08:39.634485,164031787
35776395,164031787,Removed,2025-06-24T05:08:42.586927,164031780
35776402,164031801,Removed,2025-06-24T05:08:45.579587,164031815
35776402,164031815,Removed,2025-06-24T05:08:49.402965,164031829
35776402,164031829,Removed,2025-06-24T05:08:52.690167,164031844
35776402,164031844,Removed,2025-06-24T05:08:56.011107,164031851
35776402,164031851,Removed,2025-06-24T05:08:59.441050,164031857
35776402,164031857,Removed,2025-06-24T05:09:02.921912,164031851
35786214,164054293,Removed,2025-06-24T05:09:18.852675,164054356
35786214,164054356,Removed,2025-06-24T05:09:23.365961,164054381
35786214,164054381,Removed,2025-06-24T05:09:28.872888,164054356
35786383,164054534,Removed,2025-06-24T05:09:36.643026,164054566
35786383,164054566,Removed,2025-06-24T05:09:42.711349,164054690
35786383,164054690,Removed,2025-06-24T05:09:51.504609,164054746
35786383,164054746,Removed,2025-06-24T05:09:55.126680,164054192
35786383,164054192,Removed,2025-06-24T05:09:58.361216,164054746
35787727,164056748,Removed,2025-06-24T05:10:09.595959,164056767
35787727,164056767,Removed,2025-06-24T05:10:13.040431,164056789
35787727,164056789,Removed,2025-06-24T05:10:16.244319,164056811
35787727,164056811,Removed,2025-06-24T05:10:19.154222,164056789
35787771,164056911,Removed,2025-06-24T05:10:25.060492,164056929
35787771,164056929,Removed,2025-06-24T05:10:28.084987,164056945
35787771,164056945,Removed,2025-06-24T05:10:30.926803,164056968
35787771,164056968,Removed,2025-06-24T05:10:35.543535,164056945
35789232,164061869,Removed,2025-06-24T05:10:46.594281,164061877
35789232,164061877,Removed,2025-06-24T05:10:49.829694,164061869
35789255,164061918,Removed,2025-06-24T05:10:54.916350,164061937
35789255,164061937,Removed,2025-06-24T05:10:58.658539,164061948
35789255,164061948,Removed,2025-06-24T05:11:03.774753,164061966
35789255,164061966,Removed,2025-06-24T05:11:06.973329,164061977
35789255,164061977,Removed,2025-06-24T05:11:10.223347,164061988
35789255,164061988,Removed,2025-06-24T05:11:13.406354,164061994
35789255,164061994,Removed,2025-06-24T05:11:16.324742,164062003
35789255,164062003,Removed,2025-06-24T05:11:19.355965,164062019
35789255,164062019,Removed,2025-06-24T05:11:23.116747,164062038
35789255,164062038,Removed,2025-06-24T05:11:27.842022,164062019
35789305,164062081,Removed,2025-06-24T05:11:34.309198,164062097
35789305,164062097,Removed,2025-06-24T05:11:37.656484,164062106
35789305,164062106,Removed,2025-06-24T05:11:41.239348,164062117
35789305,164062117,Removed,2025-06-24T05:11:44.530931,164062128
35789305,164062128,Removed,2025-06-24T05:11:49.405120,164062141
35789305,164062141,Removed,2025-06-24T05:11:53.585886,164062159
35789305,164062159,Removed,2025-06-24T05:11:56.757024,164062141
35789346,164062197,Removed,2025-06-24T05:12:00.442768,164062210
35789346,164062210,Removed,2025-06-24T05:12:03.639869,164062228
35789346,164062228,Removed,2025-06-24T05:12:06.836028,164062210
35789384,164062330,Removed,2025-06-24T05:12:11.457571,164062345
35789384,164062345,Removed,2025-06-24T05:12:14.342717,164062381
35789384,164062381,Removed,2025-06-24T05:12:19.315723,164062398
35789384,164062398,Removed,2025-06-24T05:12:23.055958,164062415
35789384,164062415,Removed,2025-06-24T05:12:26.106807,164062428
35789384,164062428,Removed,2025-06-24T05:12:29.791943,164062438
35789384,164062438,Removed,2025-06-24T05:12:33.331690,164062452
35789384,164062452,Removed,2025-06-24T05:12:36.172119,164062464
35789384,164062464,Removed,2025-06-24T05:12:41.058424,164062473
35789384,164062473,Removed,2025-06-24T05:12:44.227169,164062464
35789441,164062504,Removed,2025-06-24T05:12:48.932535,164062519
35789441,164062519,Removed,2025-06-24T05:12:52.307904,164062548
35789441,164062548,Removed,2025-06-24T05:12:55.058060,164062561
35789441,164062561,Removed,2025-06-24T05:12:57.932912,164062571
35789441,164062571,Removed,2025-06-24T05:13:01.195011,164062587
35789441,164062587,Removed,2025-06-24T05:13:04.248107,164062571
35789474,164062650,Removed,2025-06-24T05:13:07.673223,164062671
35789474,164062671,Removed,2025-06-24T05:13:11.122703,164062690
35789474,164062690,Removed,2025-06-24T05:13:13.945081,164062707
35789474,164062707,Removed,2025-06-24T05:13:17.756193,164062690
35789504,164062761,Removed,2025-06-24T05:13:22.805227,164062776
35789504,164062776,Removed,2025-06-24T05:13:27.496837,164062800
35789504,164062800,Removed,2025-06-24T05:13:30.939058,164062815
35789504,164062815,Removed,2025-06-24T05:13:34.661553,164062828
35789504,164062828,Removed,2025-06-24T05:13:38.737028,164062846
35789504,164062846,Removed,2025-06-24T05:13:43.783114,164062865
35789504,164062865,Removed,2025-06-24T05:13:47.906507,164062886
35789504,164062886,Removed,2025-06-24T05:13:51.698589,164062905
35789504,164062905,Removed,2025-06-24T05:13:54.812096,164062886
35822325,164145274,Removed,2025-06-24T05:14:00.554395,164145362
35822325,164145362,Removed,2025-06-24T05:14:12.529755,164145422
35822325,164145422,Removed,2025-06-24T05:14:15.730135,164145506
35822325,164145506,Removed,2025-06-24T05:14:19.097892,164145422
35823007,164147487,Removed,2025-06-24T05:14:25.820669,164147583
35823007,164147583,Removed,2025-06-24T05:14:32.053095,164147654
35823007,164147654,Removed,2025-06-24T05:14:35.892459,164147583
35838499,164197182,Removed,2025-06-24T05:14:41.537157,164197233
35838499,164197233,Removed,2025-06-24T05:14:49.805705,164197464
35838499,164197464,Removed,2025-06-24T05:14:53.752944,164197602
35838499,164197602,Removed,2025-06-24T05:14:56.689701,164197464
35878965,164266362,Removed,2025-06-24T05:15:11.201911,164266699
35878965,164266699,Removed,2025-06-24T05:15:14.604283,164266778
35878965,164266778,Removed,2025-06-24T05:15:18.375981,164266699
35880377,164270169,Removed,2025-06-24T05:15:23.323576,164270760
35880377,164270760,Removed,2025-06-24T05:15:35.460155,164270876
35880377,164270876,Removed,2025-06-24T05:15:39.503029,164271046
35880377,164271046,Removed,2025-06-24T05:15:42.786948,164271211
35880377,164271211,Removed,2025-06-24T05:15:48.106670,164271046
35910981,164338050,Removed,2025-06-24T05:16:01.520794,164338053
35910981,164338053,Removed,2025-06-24T05:16:04.699347,164338050
35910987,164338059,Removed,2025-06-24T05:16:07.942201,164338060
35910987,164338060,Removed,2025-06-24T05:16:12.110275,300227449
35910987,300227449,Removed,2025-06-24T05:16:17.053728,300227455
35910987,300227455,Removed,2025-06-24T05:16:31.815061,300227449
35910992,164338065,Removed,2025-06-24T05:16:36.602934,164338067
35910992,164338067,Removed,2025-06-24T05:16:39.915515,164338065
