familyid,memberid,status
33028875,153827795,Removed
33028875,153829952,Removed
33028875,153835456,Removed
33028875,153847870,Removed
33028875,153848743,Removed
33028875,153886499,Removed
33028875,153887372,Removed
33028875,153888362,Removed
33107675,154134965,Removed
33107675,154141603,Removed
33107675,154137259,Removed
33107675,154138499,Removed
33107675,154139930,Removed
33108825,154140230,Removed
33108825,154140843,Removed
33108825,154138989,Removed
33108825,154137899,Removed
33108825,154138454,Removed
33108825,154136449,Removed
33108825,154137054,Removed
33151938,154318103,Removed
33151938,316147091,Removed
33154018,154326028,Removed
33154018,154326780,Removed
33154018,154327146,Removed
33154018,154327581,Removed
33154018,154327891,Removed
33156488,154336792,Removed
33156488,154337104,Removed
33156488,154337661,Removed
33156488,154337871,Removed
33156488,154338135,Removed
33156488,154338541,Removed
33156488,154339066,Removed
33156488,154339395,Removed
33158300,154343993,Removed
33158300,154344191,Removed
33158300,154344385,Removed
33158300,154344552,Removed
33158300,154344736,Removed
33158300,154345085,Removed
33158300,154345321,Removed
33159120,154698188,Removed
33159120,312367134,Removed
33159347,154348403,Removed
33159347,154348684,Removed
33159347,154348823,Removed
33159347,154349044,Removed
33159347,154349198,Removed
33159347,154349381,Removed
33159347,154349554,Removed
33159736,154350145,Removed
33159736,154350330,Removed
33159736,154350559,Removed
33159800,154721354,Removed
33159800,154721483,Removed
33159800,154721693,Removed
33159800,154722039,Removed
33159800,154722411,Removed
33159800,154722621,Removed
33159800,154722743,Removed
33159800,319364271,Removed
33160076,154357645,Removed
33160076,154354914,Removed
33160076,154355647,Removed
33160076,154356151,Removed
33160076,154356778,Removed
33160076,154357194,Removed
33160076,154358141,Removed
33160076,154358635,Removed
33160086,154767750,Removed
33160086,154768698,Removed
33160086,154768822,Removed
33160442,154352497,Removed
33160442,154352724,Removed
33160442,154352973,Removed
33160442,154353216,Removed
33160741,154353596,Removed
33160741,154353788,Removed
33160741,154353951,Removed
33160741,154354064,Removed
33160935,154694398,Removed
33160935,154694542,Removed
33160961,154355003,Removed
33160961,154354457,Removed
33160961,154354643,Removed
33160961,154354863,Removed
33161076,154690786,Removed
33161076,154691788,Removed
33161076,154692001,Removed
33161196,154688312,Removed
33161196,154688514,Removed
33161196,154688679,Removed
33161196,154688810,Removed
33161196,154689364,Removed
