familyid,memberid,status
32633495,152112764,Removed
32633495,152113933,Removed
32633495,152114590,Removed
32636412,152164670,Removed
32636412,152165850,Removed
32636412,152166689,Removed
32636412,152167323,Removed
32637144,152129051,Removed
32637144,152130071,Removed
32637994,152132265,Removed
32637994,152132955,Removed
32705667,152421742,Removed
32705667,152422001,Removed
32706410,303159763,Removed
32706410,303159764,Removed
32717159,152476726,Removed
32717159,152477530,Removed
32717159,152478364,Removed
32721709,152519910,Removed
32721709,152520247,Removed
32721709,152520642,Removed
32721709,152521739,Removed
32721709,152522190,Removed
32728467,152530609,Removed
32728467,152531226,Removed
32728467,152531820,Removed
32728467,152532319,Removed
32730944,152534266,Removed
32730944,152534700,Removed
32730944,152535126,Removed
32731391,152536261,Removed
32731391,152536687,Removed
32731391,152537307,Removed
32731821,152538198,Removed
32731821,152538583,Removed
32731821,152538900,Removed
32731821,152539308,Removed
32739205,152570614,Removed
32739205,152571069,Removed
32775664,152758755,Removed
32775664,152759926,Removed
32778858,152745831,Removed
32778858,152743781,Removed
32778858,152744658,Removed
32778858,152745147,Removed
32778858,152742265,Removed
32778858,152742885,Removed
32778858,152743279,Removed
32779199,152743446,Removed
32779199,152742923,Removed
32779199,152741731,Removed
32779199,152744062,Removed
32780212,152745322,Removed
32780212,152746003,Removed
32780378,152746568,Removed
32780378,152747201,Removed
32780378,152747760,Removed
32780378,152745883,Removed
32780715,152748580,Removed
32780715,152747267,Removed
32780715,152747637,Removed
32780982,152749645,Removed
32780982,152750031,Removed
32781047,152748888,Removed
32781047,152749499,Removed
32781313,152750219,Removed
32781313,152751118,Removed
32781313,152752375,Removed
32781313,152751630,Removed
32781427,152751940,Removed
32781427,152752731,Removed
32781427,152753346,Removed
32781427,152754074,Removed
32781427,152751409,Removed
32781427,152750643,Removed
32783040,152757406,Removed
32783040,152757874,Removed
32783040,152758424,Removed
32783040,152758920,Removed
32783642,152760397,Removed
32783642,152761198,Removed
32783642,152759857,Removed
32783642,152761764,Removed
32784022,302261738,Removed
32784022,152762245,Removed
32784022,152762940,Removed
32784022,152763643,Removed
32784022,152761569,Removed
32784382,152763805,Removed
32784382,152764352,Removed
32784382,152764917,Removed
32784382,152763242,Removed
32784382,152765744,Removed
32784896,152765910,Removed
32784896,152766512,Removed
32784896,152767330,Removed
32784896,152765305,Removed
32784896,152767942,Removed
