familyid,memberid,status
33920233,157297864,Removed
33920233,157298511,Removed
33920233,302986154,Removed
33946913,157406853,Removed
33946913,157407595,Removed
33946913,157408142,Removed
33946913,157408584,Removed
33973233,157486636,Removed
33973233,157488038,Removed
33975525,157497394,Removed
33975525,157497765,Removed
33975525,157498053,Removed
33977004,157503020,Removed
33977004,157503285,Removed
33977004,157503494,Removed
33977004,157504017,Removed
33977004,157504325,Removed
33977799,157507272,Removed
33977799,157507568,Removed
33977822,157506798,Removed
33977822,157506988,Removed
33977822,157507163,Removed
33978023,157507715,Removed
33978023,157507910,Removed
33978448,157509831,Removed
33978448,157509560,Removed
33978448,157510066,Removed
33978448,157510266,Removed
33978513,157510434,Removed
33978513,157510105,Removed
33978513,157509874,Removed
33978713,157510888,Removed
33978713,157510696,Removed
33978999,157511481,Removed
33978999,157511698,Removed
33979207,157512100,Removed
33979207,157512474,Removed
33979207,157512645,Removed
33979207,157512855,Removed
33979207,157513453,Removed
33979207,157513661,Removed
33980181,157516314,Removed
33980181,157516910,Removed
33980181,180603978,Removed
33980513,157517631,Removed
33980513,157518052,Removed
33982036,157524303,Removed
33982036,157524611,Removed
33982036,157524788,Removed
33982036,157524991,Removed
33982289,157525384,Removed
33982289,157525531,Removed
33982289,157525679,Removed
33982289,157525824,Removed
33982289,157525975,Removed
33982541,157526471,Removed
33982541,157526723,Removed
33982541,157526897,Removed
33982541,157527059,Removed
33983171,157529237,Removed
33983171,157529402,Removed
33983171,157529581,Removed
33983171,157529770,Removed
33983171,157530062,Removed
33983171,157530220,Removed
33983171,157530377,Removed
33984268,157533978,Removed
33984268,157534227,Removed
33984268,157534362,Removed
33984268,157534478,Removed
33984268,157534625,Removed
33984268,157534766,Removed
33984268,157534913,Removed
33984581,157535618,Removed
33984581,157535930,Removed
33984581,157536092,Removed
33984581,157536279,Removed
33984581,157536467,Removed
33984581,157536619,Removed
33984581,157536790,Removed
33984581,157536951,Removed
33984581,157537185,Removed
33984581,157537386,Removed
33984581,157537536,Removed
33984581,157537796,Removed
34002409,157609237,Removed
34002409,157609522,Removed
34002409,157609765,Removed
34002409,157610762,Removed
34002409,157611056,Removed
34005745,157624600,Removed
34005745,157625373,Removed
34005745,157627900,Removed
34005745,157628184,Removed
34005745,157629507,Removed
34005745,157629811,Removed
34018045,157651730,Removed
34018045,157652589,Removed
34018045,157653166,Removed
34018045,157654659,Removed
34018045,157654979,Removed
34018045,157655837,Removed
34018045,157656074,Removed
34021047,157657350,Removed
34021047,157657923,Removed
34021047,157658122,Removed
34021047,157658278,Removed
34021047,157658479,Removed
34021047,157659077,Removed
34022286,157659910,Removed
34022286,157660072,Removed
34022286,157661042,Removed
34033660,157699905,Removed
34033660,157700074,Removed
34033660,157700248,Removed
34033845,157700722,Removed
34033845,157700881,Removed
34033845,157701071,Removed
34034500,157703916,Removed
34034500,157704024,Removed
34034500,157704209,Removed
34034500,157704340,Removed
34034753,157704713,Removed
34034753,157704828,Removed
34034753,157704945,Removed
34034753,157705085,Removed
34036488,157712648,Removed
34036488,157712973,Removed
34036488,157713276,Removed
34036775,157713769,Removed
34036775,157713926,Removed
34036775,157714217,Removed
34036775,157714609,Removed
34037183,157715526,Removed
34037183,157715699,Removed
34037183,157715838,Removed
34037371,157716607,Removed
34037371,157717023,Removed
34037371,157717188,Removed
34037371,157717469,Removed
34037737,157718248,Removed
34037737,157718554,Removed
34037737,157718905,Removed
34037737,157719044,Removed
34038015,157719360,Removed
34038015,157719690,Removed
34038015,157719890,Removed
34038015,157720148,Removed
34038260,157720406,Removed
34038260,157720506,Removed
34038260,157720589,Removed
34038581,157722001,Removed
34038581,157722143,Removed
34038581,157722457,Removed
34038753,157722705,Removed
34038753,157722809,Removed
34038753,157722897,Removed
34038877,157723213,Removed
34038877,157723315,Removed
34038967,157723727,Removed
34038967,157723886,Removed
34039367,157725284,Removed
34039367,157725329,Removed
34039367,157725366,Removed
34039367,157725439,Removed
34068504,157827715,Removed
34068504,157828126,Removed
34068504,320170060,Removed
34068504,319295922,Removed
34097951,157952227,Removed
34097951,157953601,Removed
34097951,157955151,Removed
34119919,158031729,Removed
34119919,158032086,Removed
34119919,158032220,Removed
34121145,158036460,Removed
34121145,158036933,Removed
34121145,158037226,Removed
34121145,158037594,Removed
34132025,158076483,Removed
34132025,158076656,Removed
34132025,158076830,Removed
34135873,158093554,Removed
34135873,158093705,Removed
34135873,158093783,Removed
34141326,158118419,Removed
34141326,158118548,Removed
34141326,158118745,Removed
34141326,158118868,Removed
34142063,158121842,Removed
34142063,158122051,Removed
34142063,158122370,Removed
34149958,158305856,Removed
34149958,158306040,Removed
34149958,158306247,Removed
34149958,158306480,Removed
34149958,158306687,Removed
34149958,158307034,Removed
34149958,158317734,Removed
