familyid,memberid,status,timestamp,original_member
35706609,163867845,Removed,2025-06-24T04:08:50.224428,163867867
35706609,163867867,Removed,2025-06-24T04:08:54.749336,318928810
35706609,318928810,Removed,2025-06-24T04:09:00.212996,318928811
35706609,318928811,Removed,2025-06-24T04:09:05.557167,318928812
35706609,318928812,Removed,2025-06-24T04:09:11.289832,318928811
35708375,164055019,Removed,2025-06-24T04:09:17.355875,164055210
35708375,164055210,Removed,2025-06-24T04:09:22.212706,164055257
35708375,164055257,Removed,2025-06-24T04:09:26.196089,164055210
35710291,163874917,Removed,2025-06-24T04:09:31.307150,163874968
35710291,163874968,Removed,2025-06-24T04:09:35.402022,163875039
35710291,163875039,Removed,2025-06-24T04:09:40.114289,163875065
35710291,163875065,Removed,2025-06-24T04:09:45.526782,163875039
35712154,163880345,Removed,2025-06-24T04:09:51.039591,163880385
35712154,163880385,Removed,2025-06-24T04:09:56.347921,179791161
35712154,179791161,Removed,2025-06-24T04:10:01.920479,163880385
35712570,163881323,Removed,2025-06-24T04:10:07.089721,163881331
35712570,163881331,Removed,2025-06-24T04:10:12.298347,163881340
35712570,163881340,Removed,2025-06-24T04:10:17.226714,163881355
35712570,163881355,Removed,2025-06-24T04:10:23.195882,306043773
35712570,306043773,Removed,2025-06-24T04:10:28.482913,306043774
35712570,306043774,Removed,2025-06-24T04:10:34.346463,306043773
35712677,163881761,Removed,2025-06-24T04:10:39.825010,163881784
35712677,163881784,Removed,2025-06-24T04:10:46.376628,163881803
35712677,163881803,Removed,2025-06-24T04:10:51.419306,163881825
35712677,163881825,Removed,2025-06-24T04:10:56.763560,163881849
35712677,163881849,Removed,2025-06-24T04:11:03.171819,163881870
35712677,163881870,Removed,2025-06-24T04:11:08.549263,163881849
35713028,163883257,Removed,2025-06-24T04:11:13.091979,163883266
35713028,163883266,Removed,2025-06-24T04:11:18.278726,163883273
35713028,163883273,Removed,2025-06-24T04:11:23.376903,163883288
35713028,163883288,Removed,2025-06-24T04:11:29.626464,163883301
35713028,163883301,Removed,2025-06-24T04:11:34.429183,163883288
35714669,163888964,Removed,2025-06-24T04:11:39.831586,163888981
35714669,163888981,Removed,2025-06-24T04:11:44.143419,163888996
35714669,163888996,Removed,2025-06-24T04:11:48.145301,163888981
35718535,200299831,Removed,2025-06-24T04:11:54.077743,200300084
35718535,200300084,Removed,2025-06-24T04:11:58.278397,200300136
35718535,200300136,Removed,2025-06-24T04:12:05.637680,200300084
35720464,164576929,Removed,2025-06-24T04:12:10.343865,164577127
35720464,164577127,Removed,2025-06-24T04:12:18.841981,164577166
