familyid,memberid,status
33161795,182248865,Removed
33161795,154357666,Removed
33161795,154357858,Removed
33161795,154357325,Removed
33161795,154357486,Removed
33162055,154358251,Removed
33162055,154358418,Removed
33162055,154358565,Removed
33162055,154358715,Removed
33162113,154615269,Removed
33162113,154615916,Removed
33162113,319093315,Removed
33162113,318896433,Removed
33162271,154359120,Removed
33162271,154359249,Removed
33162271,154359410,Removed
33162271,154359622,Removed
33162271,154359788,Removed
33162610,154361070,Removed
33162610,154360436,Removed
33162610,154360767,Removed
33162610,154361358,Removed
33162610,154361477,Removed
33162666,154361484,Removed
33162666,154361830,Removed
33162666,154360967,Removed
33162666,154361174,Removed
33162666,154361337,Removed
33162666,308130116,Removed
33162666,309971169,Removed
33163019,154361964,Removed
33163019,154362063,Removed
33163221,154663215,Removed
33163221,154663339,Removed
33163280,154362921,Removed
33163280,154363242,Removed
33163280,154363376,Removed
33163280,154363637,Removed
33163280,154363762,Removed
33163280,154363933,Removed
33163302,154663768,Removed
33163302,154663840,Removed
33163302,154663896,Removed
33163302,154663964,Removed
33163302,154664021,Removed
33163302,154664085,Removed
33163302,154664153,Removed
33163302,154664212,Removed
33163302,154664338,Removed
33164031,154365638,Removed
33164031,154365762,Removed
33164031,154365909,Removed
33164031,154366009,Removed
33164318,154366935,Removed
33164318,154367057,Removed
33164318,154367160,Removed
33164318,154367333,Removed
33179074,154427940,Removed
33179074,154428338,Removed
33180362,154433278,Removed
33180362,154434004,Removed
33180362,154434512,Removed
33180362,154434875,Removed
33180362,154435479,Removed
33181184,154436458,Removed
33181184,154436884,Removed
33181184,154437376,Removed
33181184,154437698,Removed
33181184,154438093,Removed
33183330,154445300,Removed
33183330,154445737,Removed
33183330,154446192,Removed
33183330,154446749,Removed
33183330,154447195,Removed
33183330,154447641,Removed
